case_idx,row_idx,stress_true_MPa,P_below_tau_posterior,P_above_tau_posterior,feasible_alpha90,tau_MPa,alpha_safe,accept_rate,n_posterior,stress_post_mean,stress_post_p5,stress_post_p95
0,385,177.89,0.0008333333333333334,0.9991666666666666,False,131.0,0.9,0.572,1200,179.48484604561807,153.6244805560582,205.8282641357107
1,377,154.29,0.050833333333333335,0.9491666666666667,False,131.0,0.9,0.6058333333333333,1200,164.5644555479563,130.7932630648451,206.05100545308804
2,161,136.63,0.25,0.75,False,131.0,0.9,0.5885,1200,141.3057906807641,117.57594338202526,165.39291699531145
3,79,150.99,0.0775,0.9225,False,131.0,0.9,0.5936666666666667,1200,152.65591839311665,127.05560921840606,177.90246472906279
4,19,136.95,0.3433333333333333,0.6566666666666666,False,131.0,0.9,0.6065,1200,137.61290052658256,112.08778489531767,164.01883891384105
5,88,184.91,0.004166666666666667,0.9958333333333333,False,131.0,0.9,0.5805,1200,177.4447614918774,149.85805698065425,207.27686354320477
6,250,133.33,0.4266666666666667,0.5733333333333334,False,131.0,0.9,0.607,1200,133.92180810066367,109.6807772862164,158.55008267454124
7,224,135.41,0.3575,0.6425,False,131.0,0.9,0.5831666666666667,1200,136.29158684154945,112.86956593941385,161.0537593340076
8,210,193.53,0.0,1.0,False,131.0,0.9,0.6273333333333333,1200,205.36749918067116,171.14892451761958,243.72973754908975
9,230,190.6,0.0008333333333333334,0.9991666666666666,False,131.0,0.9,0.5931666666666666,1200,187.66330878693256,158.2610510145023,218.84508898908368
